agent_id,channel,created_at,id,is_completed,lead_id,note,reminder_date,reminder_time
0720cd52-0df6-4ec0-9a5e-89be1d10dc93,call,2026-05-30 13:37:26.303995+00,10daa87a-06ea-4891-ac8e-d123cd19332f,false,262d3326-154e-44aa-99b0-f085bad528e5,share payment details,2026-05-31,11:00:00
321f217b-131f-4f8f-a882-12b5a36bbdbb,call,2026-06-02 01:33:22.002341+00,f25a1faa-a713-4990-9331-9c9072522e08,false,a58be086-3db0-4c1a-8e0f-365a8f050197,Call,2026-06-03,11:00:00
0720cd52-0df6-4ec0-9a5e-89be1d10dc93,call,2026-06-02 01:33:36.208413+00,636fc930-35a1-4607-a458-f38b129987e9,false,910f3812-3222-4108-88d0-e6e02fd711dc,,2026-06-05,11:00:00
321f217b-131f-4f8f-a882-12b5a36bbdbb,call,2026-06-02 02:33:45.517495+00,369713ab-2963-4d3f-ad23-d6f1b7acbf82,false,d8657679-6925-4ad9-bb68-84e63743e9ae,,2026-06-05,11:00:00
321f217b-131f-4f8f-a882-12b5a36bbdbb,call,2026-06-02 03:25:32.136457+00,1528239d-9d5e-479a-a8e4-2aa98b2300ef,false,004feb3c-ff7e-41df-afc9-8936cea34ff7,,2026-06-09,11:00:00
0720cd52-0df6-4ec0-9a5e-89be1d10dc93,call,2026-06-05 09:52:50.539256+00,21c4a5ca-5fdb-4e98-a1fb-ba6116d88309,false,bd012838-206a-4d55-a8f2-ef14e387d4ff,share product details,2026-06-06,11:00:00
321f217b-131f-4f8f-a882-12b5a36bbdbb,call,2026-06-06 13:37:28.090329+00,3c7e4faa-3a66-4665-a89e-a905ac8d4c37,false,ee582785-9023-4142-904c-19ce5467bfd6,,2026-06-06,11:00:00
0720cd52-0df6-4ec0-9a5e-89be1d10dc93,call,2026-06-08 12:17:50.394323+00,f31fa68e-8053-4e93-ac4e-2c50c6c26fac,false,ec0bf409-d7fe-42e9-b2e3-b728e3054f34,calll bcak,2026-06-09,11:00:00
0720cd52-0df6-4ec0-9a5e-89be1d10dc93,call,2026-06-25 10:15:16.97424+00,fb88af8e-20ae-47c0-8f52-7a79766d7465,false,48bc011e-e173-4601-ab1d-76278dfdaac2,infrom me,2026-06-25,11:00:00
0720cd52-0df6-4ec0-9a5e-89be1d10dc93,call,2026-06-27 12:41:53.638873+00,e8b3372f-c3a7-4b0b-8fb4-630121637cab,false,4dfeee68-0289-4969-a292-345b2f44b847,doubt,2026-06-28,11:00:00
321f217b-131f-4f8f-a882-12b5a36bbdbb,call,2026-07-13 11:53:22.404983+00,2ec0d349-5ddb-4924-9040-fcf80606f5a9,false,5ebdac48-b694-40ec-b6df-48472b37d0f3,,2026-07-17,11:00:00
321f217b-131f-4f8f-a882-12b5a36bbdbb,call,2026-07-13 11:55:44.255104+00,b147d922-da99-4e36-8ea1-ec7bc2f63b69,false,5ebdac48-b694-40ec-b6df-48472b37d0f3,FRIDAY,2026-07-13,11:00:00
